split,class_name,source_path,output_path,variant,augmented
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_001.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_001__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_001.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_001__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_003.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_003__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_003.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_003__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_004.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_004__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_004.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_004__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_005.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_005__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_005.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_005__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_006.jpeg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_006__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_006.jpeg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_006__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_008.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_008__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_008.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_008__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_010.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_010__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_010.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_010__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_011.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_011__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_011.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_011__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_012.jpeg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_012__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_012.jpeg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_012__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_014.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_014__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_014.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_014__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_015.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_015__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_015.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_015__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_017.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_017__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_017.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_017__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_018.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_018__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_018.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_018__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_019.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_019__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_019.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_019__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_020.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_020__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_020.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_020__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_021.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_021__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_021.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_021__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_022.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_022__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_022.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_022__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_023.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_023__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_023.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_023__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_025.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_025__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_025.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_025__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_026.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_026__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_026.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_026__aug1.png,aug1,True
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_027.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_027__orig.png,orig,False
train,fake_mannequin,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\raw\train\fake_mannequin\mannequin_027.jpg,C:\kaggle\data-analytics-competition-dac-find-it-2026\kurt\findit\ver34_clean_package\processed\preprocessing_v1\train\fake_mannequin\mannequin_027__aug1.png,aug1,True
