150 Inflation Regency/Municipality (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer Price Index of Health Group and Sub (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health,,,,,,,,,,,,,Medicines and Health Products,,,,,,,,,,,,,Outpatient Services,,,,,,,,,,,,,Inpatient Services,,,,,,,,,,,,,Other Health Services,,,,,,,,,,,,
,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually
KAB ACEH TENGAH,104.08,104.08,105.43,105.21,105.45,104.76,105.78,105.69,106.75,106.4,106.5,106.02,-,106.26,106.26,108.37,108.03,108.42,107.33,108.92,108.54,110.2,109.66,109.82,109.06,-,100,100,100,100,100,100,100,100.45,100.45,100.45,100.45,100.45,-,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,103.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MEULABOH,108.28,108.28,108.28,108.34,109.1,109.39,110.88,110.57,111.3,111.3,111.75,112.82,-,111.93,111.93,111.93,112.04,113.24,113.69,116.02,115.53,116.69,116.69,117.41,119.09,-,100,100,100,100,100,100,100,100,100,100,100,100,-,106.82,106.82,106.82,106.82,106.82,106.82,108.24,108.24,108.24,108.24,108.24,108.24,-,115.52,115.52,115.52,115.52,115.52,115.52,115.52,115.52,115.52,115.52,115.52,115.52,-
KAB ACEH TAMIANG,107.72,107.72,107.72,107.85,107.85,107.85,107.85,107.85,107.85,107.85,107.85,108.35,-,108.87,108.87,108.87,109.08,109.08,109.08,109.08,109.08,109.08,109.08,109.08,109.9,-,106.34,106.34,106.34,106.34,106.34,106.34,106.34,106.34,106.34,106.34,106.34,106.34,-,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,104.18,104.18,104.33,104.33,104.7,105.11,105.37,105.37,105.37,105.37,105.08,105.28,-,106.63,106.63,106.95,106.95,107.72,107.72,107.72,107.72,107.72,107.72,107.1,107.52,-,102.43,102.43,102.43,102.43,102.43,102.43,103.26,103.26,103.26,103.26,103.26,103.26,-,100,100,100,100,100,100,100,100,100,100,100,100,-,104.18,104.18,104.18,104.18,104.18,112,112,112,112,112,112,112,-
KOTA LHOKSEUMAWE,102.53,102.58,102.58,102.58,102.58,102.58,102.58,102.58,103.67,103.67,103.67,102.43,-,104.06,104.06,104.06,104.06,104.06,104.06,104.06,104.06,106.21,106.21,106.21,103.76,-,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.05,-,100,100,100,100,100,100,100,100,100,100,100,100,-,105.2,109.69,109.69,109.69,109.69,109.69,109.69,109.69,109.69,109.69,109.69,109.69,-
KAB LABUHANBATU,110.38,110.38,110.57,110.65,110.72,110.72,110.74,110.98,111.68,112.24,112.24,112.24,-,118.97,118.97,119.32,119.32,119.32,119.32,119.35,119.35,120.03,121.07,121.07,121.07,-,100.58,100.58,100.58,100.87,100.87,100.87,100.87,101.65,102.74,102.74,102.74,102.74,-,100,100,100,100,100,100,100,100,100,100,100,100,-,100,100,100,100,102.3,102.3,102.3,102.3,102.3,102.3,102.3,102.3,-
KAB KARO,99.76,99.85,99.85,99.85,100.65,100.91,100.91,100.91,100.91,100.91,100.91,100.91,-,99.15,99.32,99.32,99.32,100.73,100.64,100.64,100.64,100.64,100.64,100.64,100.64,-,101.55,101.55,101.55,101.55,101.55,101.55,101.55,101.55,101.55,101.55,101.55,101.55,-,100,100,100,100,100,101.64,101.64,101.64,101.64,101.64,101.64,101.64,-,100,100,100,100,100,100,100,100,100,100,100,100,-
KAB DELI SERDANG,103.77,104.24,104.24,104.54,104.54,104.69,105.14,105.14,105.14,104.94,104.94,106.4,-,108.51,109.58,109.58,109.58,109.58,109.91,109.91,109.91,109.91,109.45,109.45,109.54,-,100,100,100,100,100,100,101.7,101.7,101.7,101.7,101.7,107.01,-,100,100,100,100,100,100,100,100,100,100,100,100,-,100,100,100,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,112.5,-
KOTA SIBOLGA,117.72,117.72,117.72,119.73,119.73,119.73,119.73,119.82,119.82,119.82,119.82,119.82,-,101.48,101.48,101.48,105.79,105.79,105.79,105.79,105.98,105.98,105.98,105.98,105.98,-,118.17,118.17,118.17,118.17,118.17,118.17,118.17,118.17,118.17,118.17,118.17,118.17,-,151.15,151.15,151.15,151.15,151.15,151.15,151.15,151.15,151.15,151.15,151.15,151.15,-,100,100,100,100,100,100,100,100,100,100,100,100,-
KOTA PEMATANGSIANTAR,104.87,105.44,105.43,105.95,105.95,106.24,107.53,107.53,107.86,107.86,107.86,107.86,-,105.87,106.26,106.23,107.25,107.25,107.82,107.82,107.82,108.46,108.46,108.46,108.46,-,105.19,106.51,106.51,106.51,106.51,106.51,106.51,106.51,106.51,106.51,106.51,106.51,-,100,100,100,100,100,100,100,100,100,100,100,100,-,107.32,107.32,107.32,107.32,107.32,107.32,133.17,133.17,133.17,133.17,133.17,133.17,-
KOTA MEDAN,101.68,101.81,101.81,101.71,101.65,101.65,101.67,101.67,101.67,101.67,101.67,102.91,-,102.2,102.45,102.45,102.24,102.14,102.14,102.18,102.18,102.18,102.18,102.18,103.32,-,100.39,100.39,100.39,100.39,100.39,100.39,100.39,100.39,100.39,100.39,100.39,101.57,-,100,100,100,100,100,100,100,100,100,100,100,100,-,107.46,107.46,107.46,107.46,107.46,107.46,107.46,107.46,107.46,107.46,107.46,113.62,-
KOTA PADANGSIDIMPUAN,105.6,105.86,106.25,106.25,106.57,106.61,106.63,106.63,106.63,106.63,106.63,106.63,-,106.35,107.05,107.96,107.96,108.84,108.95,109,109,109,109,109,109,-,106.66,106.66,106.66,106.66,106.66,106.66,106.66,106.66,106.66,106.66,106.66,106.66,-,101.88,101.88,101.88,101.88,101.88,101.88,101.88,101.88,101.88,101.88,101.88,101.88,-,101.24,101.24,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,102.8,-
KOTA GUNUNGSITOLI,103.45,103.45,103.56,103.56,103.86,103.86,105.75,105.75,105.75,105.75,105.75,107.8,-,102.28,102.28,102.49,102.49,103.05,103.05,103.05,103.05,103.05,103.05,103.05,103.06,-,112.42,112.42,112.42,112.42,112.42,112.42,122.98,122.98,122.98,122.98,122.98,134.42,-,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,102.18,102.27,102.27,102.27,102.27,102.27,102.27,102.27,102.27,102.27,102.31,102.31,-,102.96,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.32,103.32,-,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,-,100,100,100,100,100,100,100,100,100,100,100,100,-,100,100,100,100,100,100,100,100,100,100,100,100,-
KAB PASAMAN BARAT,102.19,103.87,104.34,104.51,104.34,104.33,104.33,104.44,104.4,104.49,104.49,104.49,-,102.33,103.91,105.28,105.78,105.29,105.23,105.23,105.23,105.1,105.37,105.37,105.37,-,102.96,105.71,105.71,105.71,105.71,105.71,105.71,105.71,105.71,105.71,105.71,105.71,-,100,100,100,100,100,100,100,100,100,100,100,100,-,101.98,101.98,101.98,101.98,101.98,101.98,101.98,103.33,103.33,103.33,103.33,103.33,-
KOTA PADANG,102.76,102.76,102.77,102.77,102.77,102.83,102.83,102.85,102.91,102.9,105.27,105.23,-,102.72,102.72,102.74,102.74,102.74,102.96,102.96,103.02,103.24,103.2,103.2,103.05,-,100,100,100,100,100,100,100,100,100,100,110.51,110.51,-,103.62,103.62,103.62,103.62,103.62,103.62,103.62,103.62,103.62,103.62,104.92,104.92,-,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,-
KOTA BUKITTINGGI,101.74,105.51,105.51,105.51,105.68,105.62,106.32,106.91,106.91,106.91,107.13,107.13,-,105.17,105.17,105.17,105.17,105.81,105.57,105.61,105.73,105.73,105.73,106.56,106.56,-,100.71,100.71,100.71,100.71,100.71,100.71,102.84,104.53,104.53,104.53,104.53,104.53,-,100,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,109.92,-,104.73,104.73,104.73,104.73,104.73,104.73,104.73,104.73,104.73,104.73,104.73,104.73,-
TEMBILAHAN,104.79,104.46,104.62,104.62,104.62,104.43,104.45,104.45,105.03,105.03,105.03,105.03,-,101.5,100.76,101.12,101.12,101.12,100.7,100.74,100.74,102.03,102.03,102.03,102.03,-,109.03,109.03,109.03,109.03,109.03,109.03,109.03,109.03,109.03,109.03,109.03,109.03,-,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
