"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"31/12/2025","4.109,17","4.138,28","4.138,79","4.105,13","","-0,78%"
"30/12/2025","4.141,34","4.137,30","4.149,57","4.133,36","","0,17%"
"29/12/2025","4.134,24","4.142,16","4.142,90","4.132,88","","-0,10%"
"26/12/2025","4.138,58","4.142,16","4.157,58","4.138,58","","-0,09%"
"25/12/2025","4.142,16","4.142,16","4.142,16","4.142,16","","0,00%"
"24/12/2025","4.142,16","4.129,53","4.142,37","4.127,41","","0,38%"
"23/12/2025","4.126,48","4.120,40","4.132,34","4.113,97","","0,34%"
"22/12/2025","4.112,31","4.102,95","4.114,98","4.101,95","","0,15%"
"19/12/2025","4.105,97","4.091,80","4.107,48","4.087,80","","0,32%"
"18/12/2025","4.092,81","4.082,46","4.097,09","4.076,97","","0,29%"
"17/12/2025","4.080,96","4.085,69","4.091,19","4.079,85","","-0,10%"
"16/12/2025","4.085,19","4.069,11","4.089,04","4.069,11","","0,32%"
"15/12/2025","4.072,09","4.058,06","4.077,55","4.053,13","","0,35%"
"12/12/2025","4.058,06","4.061,90","4.070,34","4.055,35","","0,05%"
"11/12/2025","4.055,96","4.065,55","4.067,53","4.052,37","","0,10%"
"10/12/2025","4.051,73","4.049,33","4.054,17","4.044,42","","0,05%"
"09/12/2025","4.049,82","4.056,39","4.056,39","4.044,30","","-0,20%"
"08/12/2025","4.057,87","4.023,22","4.063,29","4.023,22","","0,25%"
"05/12/2025","4.047,69","4.043,00","4.056,66","4.042,01","","-0,01%"
"04/12/2025","4.047,91","4.031,54","4.049,88","4.031,54","","0,42%"
"03/12/2025","4.031,05","4.029,10","4.033,22","4.023,24","","0,23%"
"02/12/2025","4.021,78","4.030,25","4.036,50","4.020,69","","-0,25%"
"01/12/2025","4.031,72","4.032,70","4.037,80","4.028,78","","0,04%"
"28/11/2025","4.030,25","4.028,57","4.038,28","4.027,10","","0,08%"
"27/11/2025","4.027,11","4.025,13","4.036,83","4.024,10","","-0,02%"
"26/11/2025","4.028,05","4.032,93","4.038,79","4.026,59","","-0,04%"
"25/11/2025","4.029,52","4.032,49","4.043,35","4.021,73","","-0,03%"
"24/11/2025","4.030,55","4.015,40","4.037,56","4.015,40","","0,17%"
"21/11/2025","4.023,63","4.024,06","4.037,63","4.020,67","","-0,03%"
"20/11/2025","4.025,03","4.021,81","4.034,71","4.012,63","","0,07%"
"19/11/2025","4.022,29","4.019,22","4.037,72","4.019,01","","0,05%"
"18/11/2025","4.020,18","4.030,60","4.031,58","4.011,97","","-0,25%"
"17/11/2025","4.030,12","4.041,16","4.048,02","4.026,96","","-0,24%"
"14/11/2025","4.039,69","4.052,59","4.053,57","4.034,81","","-0,27%"
"13/11/2025","4.050,62","4.040,41","4.054,17","4.037,97","","0,35%"
"12/11/2025","4.036,51","4.032,64","4.054,08","4.032,64","","0,13%"
"11/11/2025","4.031,17","4.001,93","4.032,15","3.999,53","","0,72%"
"10/11/2025","4.002,41","3.995,34","4.005,77","3.994,25","","0,18%"
"07/11/2025","3.995,34","3.991,40","4.007,91","3.991,40","","0,11%"
"06/11/2025","3.990,92","3.986,88","3.996,54","3.983,55","","0,14%"
"05/11/2025","3.985,45","3.975,48","3.991,18","3.972,64","","0,19%"
"04/11/2025","3.977,85","3.966,43","3.986,88","3.956,80","","0,30%"
"03/11/2025","3.965,95","3.964,25","3.972,72","3.960,10","","-0,12%"
"31/10/2025","3.970,88","3.962,86","3.973,25","3.958,51","","0,23%"
"30/10/2025","3.961,91","3.965,41","3.968,99","3.955,93","","-0,12%"
"29/10/2025","3.966,82","3.946,09","3.969,58","3.946,09","","0,28%"
"28/10/2025","3.955,93","3.947,50","3.957,74","3.927,90","","0,24%"
"27/10/2025","3.946,57","3.925,02","3.949,81","3.925,02","","0,43%"
"24/10/2025","3.929,68","3.930,01","3.938,94","3.928,28","","0,03%"
"23/10/2025","3.928,62","3.918,44","3.975,42","3.916,59","","0,26%"
"22/10/2025","3.918,45","3.922,45","3.944,08","3.884,23","","-0,11%"
"21/10/2025","3.922,92","3.922,15","3.927,66","3.920,97","","0,02%"
"20/10/2025","3.922,15","3.922,15","3.926,88","3.917,18","","-0,03%"
"17/10/2025","3.923,33","3.926,55","3.927,99","3.920,09","","0,10%"
"16/10/2025","3.919,58","3.917,47","3.924,63","3.917,13","","0,14%"
"15/10/2025","3.914,23","3.917,98","3.942,68","3.914,23","","-0,11%"
"14/10/2025","3.918,45","3.917,21","3.925,02","3.915,31","","0,02%"
"13/10/2025","3.917,68","3.917,17","3.928,62","3.912,07","","0,01%"
"10/10/2025","3.917,17","3.921,55","3.931,20","3.915,65","","-0,18%"
"09/10/2025","3.924,34","3.926,04","3.930,70","3.916,51","","-0,09%"
"08/10/2025","3.927,90","3.924,55","3.937,78","3.916,19","","0,09%"
"07/10/2025","3.924,55","3.926,46","3.937,85","3.919,60","","-0,05%"
"06/10/2025","3.926,46","3.929,43","3.940,80","3.921,04","","-0,08%"
"03/10/2025","3.929,43","3.942,24","3.947,78","3.923,59","","-0,36%"
"02/10/2025","3.943,65","3.948,88","3.953,04","3.941,77","","-0,07%"
"01/10/2025","3.946,52","3.961,73","3.965,78","3.941,85","","-0,34%"
"30/09/2025","3.959,85","3.955,40","3.965,27","3.953,02","","0,12%"
"29/09/2025","3.954,93","3.963,05","3.972,94","3.949,69","","-0,20%"
"26/09/2025","3.963,05","3.971,54","3.980,11","3.960,26","","-0,20%"
"25/09/2025","3.971,06","3.956,12","3.977,58","3.951,90","","0,26%"
"24/09/2025","3.960,82","3.968,80","3.975,83","3.958,46","","-0,21%"
"23/09/2025","3.969,27","3.953,58","3.970,83","3.948,81","","0,46%"
"22/09/2025","3.951,22","3.931,31","3.952,62","3.930,35","","0,20%"
"19/09/2025","3.943,43","3.925,10","3.946,72","3.924,16","","0,25%"
"18/09/2025","3.933,51","3.921,71","3.936,96","3.909,94","","0,28%"
"17/09/2025","3.922,65","3.910,11","3.930,67","3.910,11","","0,33%"
"16/09/2025","3.909,64","3.896,56","3.910,83","3.890,73","","0,18%"
"15/09/2025","3.902,50","3.904,53","3.908,69","3.896,56","","0,20%"
"12/09/2025","3.894,78","3.898,63","3.916,53","3.890,15","","-0,10%"
"11/09/2025","3.898,63","3.905,11","3.905,86","3.894,12","","-0,17%"
"10/09/2025","3.905,11","3.908,67","3.911,58","3.898,63","","-0,30%"
"09/09/2025","3.917,03","3.872,69","3.922,63","3.870,39","","1,33%"
"08/09/2025","3.865,80","3.886,40","3.900,26","3.861,60","","-0,53%"
"05/09/2025","3.886,40","3.886,40","3.886,40","3.886,40","","0,00%"
"04/09/2025","3.886,40","3.885,10","3.897,57","3.878,27","","0,09%"
"03/09/2025","3.882,79","3.876,16","3.887,25","3.873,41","","0,15%"
"02/09/2025","3.877,08","3.885,21","3.891,66","3.872,95","","-0,21%"
"01/09/2025","3.885,21","3.899,42","3.905,92","3.884,03","","-0,46%"
"29/08/2025","3.902,97","3.882,43","3.914,54","3.881,05","","0,70%"
"28/08/2025","3.875,98","3.874,95","3.878,26","3.863,16","","0,33%"
"27/08/2025","3.863,05","3.864,01","3.874,01","3.860,80","","-0,06%"
"26/08/2025","3.865,38","3.860,94","3.866,55","3.854,88","","0,06%"
"25/08/2025","3.863,23","3.876,66","3.892,80","3.862,57","","-0,05%"
"22/08/2025","3.865,17","3.850,80","3.867,85","3.845,34","","0,27%"
"21/08/2025","3.854,90","3.850,30","3.859,55","3.848,48","","0,14%"
"20/08/2025","3.849,39","3.842,88","3.858,29","3.836,98","","0,11%"
"19/08/2025","3.845,15","3.824,86","3.855,98","3.818,98","","0,47%"
"18/08/2025","3.827,12","3.833,94","3.835,30","3.823,50","","-0,22%"
"15/08/2025","3.835,75","3.822,19","3.835,75","3.814,05","","0,30%"
"14/08/2025","3.824,46","3.846,56","3.868,61","3.817,21","","-0,63%"
"13/08/2025","3.848,85","3.859,01","3.861,30","3.840,17","","0,00%"
"12/08/2025","3.848,98","3.841,80","3.862,28","3.836,36","","0,15%"
"11/08/2025","3.843,16","3.841,53","3.845,12","3.826,90","","0,03%"
"08/08/2025","3.841,99","3.849,71","3.859,96","3.838,36","","-0,14%"
"07/08/2025","3.847,43","3.876,79","3.876,79","3.847,43","","-0,52%"
"06/08/2025","3.867,62","3.876,93","3.878,11","3.865,79","","-0,18%"
"05/08/2025","3.874,64","3.868,31","3.877,59","3.865,92","","0,18%"
"04/08/2025","3.867,85","3.857,32","3.890,53","3.857,32","","0,33%"
"01/08/2025","3.855,06","3.853,66","3.858,91","3.840,15","","-0,08%"
"31/07/2025","3.858,16","3.861,02","3.872,62","3.840,67","","-0,19%"
"30/07/2025","3.865,58","3.871,20","3.878,06","3.863,30","","-0,16%"
"29/07/2025","3.871,66","3.858,33","3.877,34","3.856,96","","0,25%"
"28/07/2025","3.861,97","3.863,84","3.871,72","3.860,39","","-0,07%"
"25/07/2025","3.864,75","3.863,59","3.871,39","3.856,72","","0,04%"
"24/07/2025","3.863,13","3.860,20","3.864,64","3.852,04","","0,25%"
"23/07/2025","3.853,34","3.855,80","3.862,19","3.848,93","","-0,03%"
"22/07/2025","3.854,43","3.854,43","3.859,45","3.848,80","","0,09%"
"21/07/2025","3.850,79","3.837,46","3.856,25","3.835,65","","0,37%"
"18/07/2025","3.836,56","3.844,17","3.848,70","3.835,85","","-0,23%"
"17/07/2025","3.845,53","3.832,30","3.848,20","3.820,52","","0,33%"
"16/07/2025","3.832,75","3.821,40","3.837,14","3.819,15","","-0,01%"
"15/07/2025","3.833,10","3.817,87","3.835,36","3.816,07","","0,34%"
"14/07/2025","3.820,11","3.811,88","3.826,73","3.808,30","","0,22%"
"11/07/2025","3.811,88","3.812,89","3.816,58","3.805,05","","-0,18%"
"10/07/2025","3.818,72","3.824,93","3.829,44","3.810,85","","-0,07%"
"09/07/2025","3.821,32","3.815,19","3.826,14","3.808,46","","0,01%"
"08/07/2025","3.821,04","3.831,45","3.838,58","3.819,68","","-0,30%"
"07/07/2025","3.832,36","3.834,40","3.841,76","3.820,83","","-0,05%"
"04/07/2025","3.834,40","3.827,43","3.839,82","3.822,91","","0,00%"
"03/07/2025","3.834,23","3.846,07","3.852,91","3.833,64","","-0,15%"
"02/07/2025","3.840,16","3.847,93","3.857,06","3.839,09","","-0,44%"
"01/07/2025","3.857,06","3.866,42","3.887,23","3.855,69","","0,07%"
"30/06/2025","3.854,47","3.825,31","3.859,35","3.825,31","","0,60%"
"27/06/2025","3.831,64","3.831,64","3.831,64","3.831,64","","0,00%"
"26/06/2025","3.831,64","3.846,53","3.860,81","3.829,83","","-0,30%"
"25/06/2025","3.843,35","3.859,78","3.862,97","3.840,52","","-0,24%"
"24/06/2025","3.852,50","3.847,15","3.878,37","3.843,45","","0,37%"
"23/06/2025","3.838,19","3.850,77","3.853,42","3.821,10","","-0,39%"
"20/06/2025","3.853,03","3.857,67","3.862,20","3.842,51","","0,12%"
"19/06/2025","3.848,60","3.833,06","3.852,03","3.822,95","","0,36%"
"18/06/2025","3.834,85","3.843,25","3.849,51","3.823,85","","0,01%"
"17/06/2025","3.834,65","3.833,83","3.846,57","3.827,06","","-0,03%"
"16/06/2025","3.835,64","3.834,13","3.851,79","3.831,12","","-0,07%"
"13/06/2025","3.838,19","3.849,44","3.851,27","3.825,41","","-0,21%"
"12/06/2025","3.846,25","3.839,17","3.850,53","3.832,12","","0,27%"
"11/06/2025","3.835,99","3.843,62","3.844,07","3.833,16","","-0,14%"
"10/06/2025","3.841,35","3.842,98","3.848,89","3.839,22","","-0,15%"
"09/06/2025","3.847,07","3.836,18","3.851,85","3.833,93","","-0,07%"
"06/06/2025","3.849,80","3.847,98","3.852,08","3.844,80","","0,06%"
"05/06/2025","3.847,52","3.837,46","3.851,57","3.829,55","","0,31%"
"04/06/2025","3.835,65","3.831,78","3.847,43","3.826,96","","-0,02%"
"03/06/2025","3.836,29","3.816,52","3.841,18","3.816,52","","0,52%"
"02/06/2025","3.816,52","3.834,15","3.838,26","3.816,52","","-0,28%"
"30/05/2025","3.827,09","3.841,99","3.860,20","3.823,95","","-0,29%"
"29/05/2025","3.838,37","3.851,09","3.851,99","3.825,30","","-0,45%"
"28/05/2025","3.855,63","3.835,61","3.856,54","3.826,58","","0,44%"
"27/05/2025","3.838,77","3.852,92","3.869,90","3.837,86","","-0,27%"
"26/05/2025","3.849,26","3.833,02","3.860,81","3.831,22","","0,42%"
"23/05/2025","3.833,02","3.824,38","3.838,43","3.817,64","","0,34%"
"22/05/2025","3.819,89","3.839,61","3.862,65","3.819,00","","-0,51%"
"21/05/2025","3.839,58","3.821,90","3.850,45","3.803,73","","0,56%"
"20/05/2025","3.818,34","3.825,39","3.832,21","3.807,21","","-0,28%"
"19/05/2025","3.828,95","3.826,82","3.828,95","3.812,62","","0,06%"
