"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"31/12/2025","12.966,57","13.044,33","13.056,02","12.955,99","","-0,61%"
"30/12/2025","13.046,36","13.055,66","13.076,90","13.024,97","","-0,07%"
"29/12/2025","13.055,66","13.035,87","13.073,96","13.033,84","","0,09%"
"26/12/2025","13.043,49","13.055,69","13.065,35","13.034,35","","-0,12%"
"25/12/2025","13.058,73","13.056,70","13.063,82","13.041,46","","0,02%"
"24/12/2025","13.056,70","13.045,00","13.091,39","13.041,20","","0,07%"
"23/12/2025","13.047,03","13.014,63","13.054,65","13.003,14","","0,25%"
"22/12/2025","13.014,63","12.950,15","13.023,22","12.939,77","","0,53%"
"19/12/2025","12.946,14","12.959,88","12.972,58","12.936,64","","-0,11%"
"18/12/2025","12.959,88","12.921,10","12.970,94","12.913,59","","0,28%"
"17/12/2025","12.923,59","12.944,51","12.952,05","12.897,68","","-0,17%"
"16/12/2025","12.945,01","12.926,12","12.970,67","12.915,60","","0,18%"
"15/12/2025","12.921,61","12.880,76","12.938,17","12.873,45","","0,32%"
"12/12/2025","12.880,26","12.900,99","12.914,98","12.871,96","","-0,16%"
"11/12/2025","12.900,48","12.905,10","12.920,48","12.868,84","","-0,03%"
"10/12/2025","12.904,10","12.842,46","12.914,59","12.839,98","","0,47%"
"09/12/2025","12.843,44","12.863,70","12.872,02","12.833,06","","-0,15%"
"08/12/2025","12.862,71","12.839,51","12.891,96","12.837,03","","0,18%"
"05/12/2025","12.839,51","12.842,87","12.867,58","12.826,55","","-0,03%"
"04/12/2025","12.842,87","12.847,37","12.860,73","12.828,53","","-0,03%"
"03/12/2025","12.846,88","12.820,62","12.852,34","12.808,27","","0,22%"
"02/12/2025","12.818,64","12.852,57","12.858,03","12.799,38","","-0,26%"
"01/12/2025","12.852,57","12.849,60","12.879,90","12.839,20","","0,02%"
"28/11/2025","12.849,60","12.829,12","12.862,88","12.820,66","","0,16%"
"27/11/2025","12.828,62","12.840,58","12.869,84","12.811,83","","-0,09%"
"26/11/2025","12.839,59","12.802,09","12.849,98","12.787,71","","0,29%"
"25/11/2025","12.803,08","12.791,19","12.812,92","12.764,54","","0,09%"
"24/11/2025","12.791,68","12.773,25","12.804,44","12.758,61","","0,12%"
"21/11/2025","12.776,19","12.791,01","12.808,94","12.744,49","","-0,12%"
"20/11/2025","12.791,50","12.772,10","12.821,06","12.765,76","","0,15%"
"19/11/2025","12.772,59","12.855,18","12.869,28","12.764,78","","-0,67%"
"18/11/2025","12.859,12","12.832,82","12.869,88","12.826,42","","0,21%"
"17/11/2025","12.832,32","12.852,92","12.871,10","12.825,43","","-0,20%"
"14/11/2025","12.858,36","12.859,95","12.876,71","12.812,96","","-0,01%"
"13/11/2025","12.859,45","12.826,09","12.881,74","12.810,84","","0,26%"
"12/11/2025","12.826,09","12.823,77","12.842,72","12.797,32","","0,01%"
"11/11/2025","12.824,76","12.779,68","12.839,56","12.768,41","","0,35%"
"10/11/2025","12.779,68","12.821,41","12.821,91","12.772,33","","-0,33%"
"07/11/2025","12.821,41","12.810,01","12.827,81","12.790,38","","0,12%"
"06/11/2025","12.806,57","12.780,69","12.810,01","12.774,03","","0,19%"
"05/11/2025","12.781,67","12.765,30","12.805,42","12.757,01","","0,13%"
"04/11/2025","12.765,30","12.765,39","12.825,82","12.741,95","","0,00%"
"03/11/2025","12.765,39","12.783,46","12.811,21","12.756,59","","-0,14%"
"31/10/2025","12.783,46","12.794,10","12.812,81","12.766,78","","-0,07%"
"30/10/2025","12.792,13","12.802,44","12.843,19","12.770,04","","-0,11%"
"29/10/2025","12.806,39","12.833,30","12.853,45","12.792,58","","-0,21%"
"28/10/2025","12.833,79","12.810,83","12.846,77","12.805,10","","0,18%"
"27/10/2025","12.810,83","12.780,63","12.828,62","12.779,15","","0,25%"
"24/10/2025","12.778,66","12.800,37","12.812,98","12.762,93","","-0,17%"
"23/10/2025","12.799,88","12.770,63","12.944,94","12.754,91","","0,23%"
"22/10/2025","12.770,14","12.774,81","12.850,10","12.652,65","","-0,04%"
"21/10/2025","12.775,30","12.807,14","12.823,49","12.772,84","","-0,25%"
"20/10/2025","12.807,14","12.799,13","12.824,79","12.783,51","","0,06%"
"17/10/2025","12.799,14","12.806,25","12.841,38","12.787,79","","-0,06%"
"16/10/2025","12.806,25","12.778,68","12.823,06","12.776,22","","0,21%"
"15/10/2025","12.779,18","12.765,72","12.806,36","12.760,80","","0,11%"
"14/10/2025","12.765,72","12.752,20","12.773,54","12.730,42","","0,11%"
"13/10/2025","12.752,20","12.760,71","12.800,44","12.741,90","","-0,07%"
"10/10/2025","12.760,71","12.730,85","12.789,09","12.725,95","","0,23%"
"09/10/2025","12.730,85","12.782,22","12.801,35","12.717,15","","-0,39%"
"08/10/2025","12.780,74","12.788,00","12.830,63","12.761,36","","-0,07%"
"07/10/2025","12.789,49","12.810,59","12.854,27","12.782,29","","-0,18%"
"06/10/2025","12.812,08","12.829,27","12.850,01","12.780,42","","-0,11%"
"03/10/2025","12.826,29","12.866,57","12.898,54","12.817,65","","-0,31%"
"02/10/2025","12.865,57","12.891,09","12.913,19","12.843,65","","-0,20%"
"01/10/2025","12.891,09","12.917,61","12.954,76","12.873,09","","-0,21%"
"30/09/2025","12.917,61","12.922,49","12.946,74","12.902,22","","-0,04%"
"29/09/2025","12.922,49","12.938,40","12.969,50","12.896,73","","-0,24%"
"26/09/2025","12.952,93","12.930,14","12.992,69","12.925,15","","0,18%"
"25/09/2025","12.930,14","12.938,40","13.016,97","12.923,15","","-0,07%"
"24/09/2025","12.938,90","12.987,57","13.004,44","12.930,87","","-0,37%"
"23/09/2025","12.987,57","12.953,43","12.997,78","12.932,78","","0,26%"
"22/09/2025","12.953,43","12.915,54","12.956,97","12.898,46","","0,32%"
"19/09/2025","12.912,52","12.871,91","12.934,16","12.859,37","","0,31%"
"18/09/2025","12.872,41","12.853,52","12.917,48","12.831,34","","0,13%"
"17/09/2025","12.855,53","12.885,53","12.927,85","12.850,00","","-0,23%"
"16/09/2025","12.885,53","12.814,81","12.891,59","12.779,15","","0,56%"
"15/09/2025","12.813,31","12.764,51","12.825,24","12.759,04","","0,35%"
"12/09/2025","12.768,99","12.840,32","12.861,16","12.744,15","","-0,58%"
"11/09/2025","12.843,83","12.833,81","12.851,85","12.801,87","","0,09%"
"10/09/2025","12.831,81","12.846,01","12.853,35","12.811,29","","-0,10%"
"09/09/2025","12.844,51","12.706,73","12.884,53","12.699,80","","1,08%"
"08/09/2025","12.706,73","12.781,70","12.786,67","12.687,94","","-0,57%"
"05/09/2025","12.780,21","12.728,20","12.808,11","12.726,22","","0,40%"
"04/09/2025","12.729,18","12.745,17","12.777,07","12.720,79","","-0,13%"
"03/09/2025","12.745,17","12.728,47","12.757,95","12.716,14","","0,13%"
"02/09/2025","12.728,47","12.783,27","12.801,78","12.705,79","","-0,43%"
"01/09/2025","12.783,27","12.846,19","12.860,49","12.776,31","","-0,48%"
"29/08/2025","12.844,69","12.747,13","12.856,20","12.734,22","","0,79%"
"28/08/2025","12.743,65","12.721,62","12.756,58","12.698,79","","0,18%"
"27/08/2025","12.721,12","12.679,07","12.730,04","12.665,27","","0,33%"
"26/08/2025","12.679,07","12.643,02","12.688,94","12.633,69","","0,29%"
"25/08/2025","12.643,02","12.751,68","12.752,18","12.633,20","","-0,85%"
"22/08/2025","12.751,68","12.638,73","12.767,12","12.626,48","","0,90%"
"21/08/2025","12.638,24","12.655,10","12.673,80","12.625,99","","-0,13%"
"20/08/2025","12.655,10","12.635,19","12.690,98","12.622,91","","0,15%"
"19/08/2025","12.636,66","12.581,26","12.693,83","12.567,08","","0,44%"
