Tanggal,Hari,Deskripsi,Jenis
2025-01-01,Wednesday,New Year 2025,National Holiday
2025-01-27,Monday,Isra Mi'raj Nabi Muhammad SAW,National Holiday
2025-01-28,Tuesday,Cuti Bersama Tahun Baru Imlek,Cuti Bersama
2025-01-29,Wednesday,Tahun Baru Imlek 2576 Kongzili,National Holiday
2025-03-28,Friday,Cuti Bersama Hari Suci Nyepi,Cuti Bersama
2025-03-29,Saturday,Hari Suci Nyepi (Tahun Baru Saka 1947),National Holiday
2025-03-31,Monday,Idulfitri 1446 Hijriah,National Holiday
2025-04-01,Tuesday,Idulfitri 1446 Hijriah,National Holiday
2025-04-02,Wednesday,Cuti Bersama Idulfitri 1446 Hijriah,Cuti Bersama
2025-04-03,Thursday,Cuti Bersama Idulfitri 1446 Hijriah,Cuti Bersama
2025-04-04,Friday,Cuti Bersama Idulfitri 1446 Hijriah,Cuti Bersama
2025-04-07,Monday,Cuti Bersama Idulfitri 1446 Hijriah,Cuti Bersama
2025-04-18,Friday,Wafat Yesus Kristus,National Holiday
2025-04-20,Sunday,Hari Paskah,National Holiday
2025-05-01,Thursday,Hari Buruh Internasional,National Holiday
2025-05-12,Monday,Hari Raya Waisak 2569 BE,National Holiday
2025-05-13,Tuesday,Cuti Bersama Hari Raya Waisak,Cuti Bersama
2025-05-29,Thursday,Kenaikan Yesus Kristus,National Holiday
2025-05-30,Friday,Cuti Bersama Kenaikan Yesus Kristus,Cuti Bersama
2025-06-01,Sunday,Hari Lahir Pancasila,National Holiday
2025-06-06,Friday,Idul Adha 1446 Hijriah,National Holiday
2025-06-09,Monday,Cuti Bersama Idul Adha 1446 Hijriah,Cuti Bersama
2025-06-27,Friday,Tahun Baru Islam 1447 Hijriah,National Holiday
2025-08-17,Sunday,Hari Kemerdekaan RI,National Holiday
2025-08-18,Monday,Cuti Bersama Hari Kemerdekaan RI,Cuti Bersama
2025-09-05,Friday,Maulid Nabi Muhammad SAW,National Holiday
2025-12-25,Thursday,Hari Raya Natal,National Holiday
2025-12-26,Friday,Cuti Bersama Hari Raya Natal,Cuti Bersama
