Comment,At,AppVersion,Sentiment
Ridiculous how we are limited when paying!,2025-06-10 21:24:17,1.250609.27,2
love this app but would like a download icon to appear in my downloaded apps.,2025-04-05 21:24:04,1.250331.7,2
perfect AI i can't compare with even Chatgpt this is best 🙌🙌🙌🤜🤜🤜🤜🥰🥰🥰🥰🥰🥰,2025-05-30 08:17:46,1.250526.17,2
"can't access projects directly yet, but still pretty awesome!",2024-08-17 17:31:07,1.240812.7,2
very good app,2025-06-16 18:33:42,1.250602.7,2
"it's a absolutely amazing AI, I asked chat GPT to get the size of data in mysql 8 but It was not able to provide me, but this claude did in few seconds loved it.",2025-06-05 05:11:33,1.250602.7,2
The best!,2024-08-29 10:40:50,1.240826.27,2
slick AF,2024-10-28 13:44:08,1.241021.17,2
I shared on my page but was not able to upgrade at this moment in time. I bet this app will be for-really-awesome! Great app. Nice work.,2024-10-19 21:54:37,1.241021.7,2
no NSFW,2025-06-03 04:44:19,1.250519.17,0
Fake,2025-01-29 15:06:08,,0
"I can't believe I was paying for this. There's really no effort in this android app. Projects aren't shown, code generated blocks either, you get half of the response. Edit: also the service. Just switched to paid chatgpt and wow, it's 20 years in the future.",2025-02-03 17:56:17,1.240805.17,0
I love the in-depth and fascinating information from Claude!! There's a back-and-forth that is intellectual and interesting!! Love this app!!!!🥰🥰,2024-11-20 06:04:39,1.241111.7,2
"I think it's really helpful and awesome to use but sometimes it makes mistakes, and it does weird stuff like randomly say that my prompt is too big while all I did was share a picture and write ""yes"" and the waiting for hours isn't fun...i wish you didn't have to pay to fully use it, yet I guess it makes you use it wisely",2025-03-24 10:39:18,1.250317.17,1
no way Google him and Nbot are so smart,2025-06-15 11:54:43,1.250602.7,0
it's great,2025-07-08 00:41:45,1.250630.7,2
great ai,2025-05-11 06:21:08,,2
"I don't post reviews for apps. This is the first time I've felt compelled to do so. I have downloaded and deleted at least 15 different apps before discovering Claude. No other compares. 5 stars isn't enough! Search no further! I've spent a year working on this project, before it occurred to me to employ an app to assist me with it. Beyond impressed! Thank You Claude!",2024-11-12 12:08:05,1.241111.5,2
Authentication app security pin and privacy,2025-07-04 09:12:58,1.250630.7,2
"The only thing keeping me from giving it 5 stars is the lack of syntax highlighting, which is a shame because Claude 3.7 Sonnet is the best model for coding, you would think that this would be a priority.",2025-04-01 05:14:04,1.250324.17,2
I like him. Nice answer.,2025-05-18 08:07:06,1.250512.27,2
Amazing 💫💫💫💫💫💫💫💫💫💫,2024-11-18 21:46:50,1.241111.7,2
not happy with a concept drawing. will not follow directions.,2025-03-18 09:21:59,1.250310.7,2
no push to talk. interrupts me every time.,2025-07-06 22:09:09,,0
"Code generation is just great, I mainly use for research and understanding concepts indepth",2025-06-30 10:29:15,1.250602.7,2
yes it does help because it's too much,2025-04-08 23:49:53,1.250407.47,2
I've got far better answers than Gemini Advanced and ChatGPT 4o,2024-07-16 18:58:14,1.240722.4,2
I find Claude more Human than the other LLMs,2025-04-10 06:00:29,1.250324.17,2
I love this app.,2025-03-28 22:28:03,1.250324.17,2
very nice I love it,2024-11-03 04:28:20,1.241104.5,2
