Comment,At,AppVersion,Sentiment
Amazing. In love with thinking out loud feature,2025-01-27 22:41:13,1.0.7,2
"The main thing is, you don't have a reliable Customer Service to answer questions from your application users. As long as you don't respond to technical difficulties experienced by users, I will consider your application is bad.",2025-01-29 16:00:51,1.0.8,0
هو برنامج كويس جدا بس في حاجه مش حلوه اطلاقا هي تحميل الصور بتتحمل ببطا شديد,2025-04-27 02:32:05,1.1.7,2
Incredible,2025-02-02 05:15:24,1.0.8,2
"DeepSeek is a game-changer! It gives instant, accurate answers for study, work, or daily life. The interface is clean, easy to use, and packed with powerful features. It feels like having a personal assistant 24/7. Highly recommend to anyone looking to boost productivity!",2025-01-31 10:54:11,1.0.8,2
Doesn't send the code to confirm my email to finish the sign-up process 😒,2025-01-28 00:51:13,,0
Awesome AI. Though the surgue made it slow but still free reasoner and beat OpenAI O1.,2025-01-30 13:40:38,1.0.6,2
Awesome,2025-01-29 22:39:17,1.0.8,2
For the first prompt it will give the good response but for the next prompts it will always gives the response as server busy.,2025-03-02 07:19:05,1.0.14,1
کوردیەکەی زۆرباشە بەراستی سەرسامم بەڕاستی ئافەرین دیپ سیک,2025-01-28 18:53:21,1.0.7,2
Worst app,2025-01-29 13:44:16,1.0.8,0
Mantap jiwa,2025-01-28 08:45:23,1.0.7,2
Better than Chatgpt❤️,2025-01-31 19:34:01,1.0.8,2
Please make it not to scroll down when I'm reading something. Thank you.,2025-06-16 04:57:54,1.2.3,2
"Open source and free ai to use, better performance than any ai model,also many more features with maximum of 671 B parameters, give it a try.",2025-01-28 18:10:17,1.0.7,2
Hard to Sign in with google account😮,2025-02-01 03:26:58,1.0.8,2
"Deepseek is really great, the only problem I have with the app is the limited information it has, there is new information that it really can't explain and I would like you to add a small feature in which when the AI gives an answer for example if there is a word in the explanation of which we don't know the definition it gives a way to click on this word and have a brief definition or the way to directly do a search about this word on the page",2025-02-26 09:37:23,1.0.12,2
"great job, Mate",2025-05-27 08:53:40,,2
"Waste of installation, didn't even allowed to create the account 👎👎",2025-01-30 13:14:43,,0
The step by step problem solving display provides more insight into the question that you ask DeepSeek AI during DeepThink process - very helpful feature.,2025-01-27 15:34:14,1.0.4,2
in this app more problems like when we search it not repond and bugging or lagging also👎,2025-02-09 12:58:11,,0
Better than chat gpt,2025-01-29 06:51:08,1.0.6,2
Always busy..,2025-02-11 00:10:45,1.0.8,0
very nice and very useful aap,2025-04-20 10:13:29,1.1.6,2
absolutely very awesome,2025-02-04 06:31:25,1.0.8,2
first of all I like how is too small in size while can do such big things,2025-04-12 07:17:58,,2
100 Time beater then chat GtP,2025-01-29 07:05:59,1.0.7,2
this app is 4 person limit what do you mean server is busy for why if you want fast answers go to chat gpt,2025-06-12 00:05:29,1.2.2,0
fast information love this app it's number one,2025-02-01 20:35:39,1.0.8,2
Very slow,2025-03-05 11:23:41,1.0.14,0
Very Good,2025-03-09 16:21:59,1.1.1,2
I gave five stars because it is an interesting AI ap.,2025-04-19 11:17:58,1.0.14,2
👍👌 i like this app,2025-02-21 18:59:08,1.0.13,2
"""The server is busy. Please try again later."" Solve this problem!!",2025-02-08 13:57:47,1.0.8,0
Good app 😊,2025-02-22 14:16:04,1.0.13,2
Deepseek is game changer,2025-01-31 08:44:15,1.0.8,2
Well done china,2025-01-29 04:26:15,1.0.8,2
Very fast responding I like it I recommend a student to use it,2025-01-26 04:53:03,1.0.6,2
very much so,2025-04-03 15:17:26,,2
"Amazing model, a bit late to try it, thought its just a hype but no, was genuinely amazed by speed and precision.",2025-04-07 11:06:38,1.1.5,2
