Comment,At,AppVersion,Sentiment
ok,2025-03-16 02:33:43,1.0.686588308,2
"Force installed on my phone, can't uninstall it, stop forcing this stuff on customers calling them ""updates"".",2025-06-18 19:01:32,1.0.751104895,0
good,2024-07-10 06:55:52,1.0.626720042,2
disposable,2025-01-28 09:57:51,1.0.686588308,0
bakwas app,2025-06-24 17:39:37,1.0.662093464,2
idk much about Gemini but I put V Star on it and simply good tho... and id understand what is this use for?? And I like the new features in Gemini ...,2024-08-28 04:32:04,1.0.662093464,2
not much useful and faster i hate paid service still other Ai is best for create small video high Quality photo 3d photo,2024-08-23 08:44:38,1.0.662093464,0
absolutely Amazing 🤩,2025-04-19 13:50:51,1.0.741105040,2
Very good.,2025-01-19 08:20:06,1.0.686588308,2
it helps me in my studies,2025-05-07 07:14:56,1.0.751104895,2
cool 😎 perfect,2025-01-22 10:00:01,1.0.686588308,2
love it,2024-02-23 20:12:30,1.0.608774175,2
Love it.,2025-03-20 17:35:31,1.0.686588308,2
just love it 😍,2024-12-21 13:04:15,1.0.686588308,2
je l'aime,2025-02-19 02:21:45,1.0.686588308,2
very nice,2025-04-27 10:03:07,1.0.741105040,2
nice,2024-12-04 16:28:09,1.0.686588308,2
"as far as information and research, I found other AI apps to be better than Gemini. however, Gemini does a great job on creative pictures and multimedia projects.",2025-05-07 05:26:42,1.0.751104895,2
By far the worst whatever this is some internal joke at Google. Makes Ur assistant look like a rocket scientist I'm switching back or going to bixby or maybe iphone,2024-07-25 12:56:57,1.0.626720042,0
great app,2025-07-03 00:15:54,1.0.776555963,2
So far excellent interaction for text polishing and information collection,2025-07-02 15:42:53,1.0.772404132,2
good,2025-06-09 12:34:31,1.0.751104895,2
I didn't think I would like the change over to Gemini until I found out that you/ I can talk to it in messages. Have a conversation with Her/ or Him. However you prefer .,2025-07-05 03:16:18,1.0.772404132,2
butchered my google assistant when it can't even offer better or at least the same features,2025-05-25 03:08:48,,0
excellent application 👍👍👍,2024-06-29 05:13:54,1.0.626720042,2
not work properly,2025-07-03 08:59:20,1.0.686588308,0
good app,2025-06-19 15:54:35,1.0.751104895,2
it's really osm❤️,2025-04-20 15:11:18,1.0.741105040,2
I love it. I use it everyday. So smart. Simply the best reasoning model available. I'm subscribed and that won't change.,2025-06-27 23:26:14,1.0.772404132,2
good,2024-12-22 13:46:50,1.0.686588308,0
"If Gemini can't fully replace Google Assistant, why are you forcing us to switch just to try it? I installed Gemini, but I can't test its other features on my phone because I have use for the Google Assistant features that are disabled on gemini. Gemini works fine on my desktop, though.",2024-07-15 19:14:36,1.0.626720042,0
useless completely... not even hearing correcly,2025-03-22 17:38:42,1.0.686588308,0
good app for home work,2024-12-25 14:46:56,1.0.686588308,2
"it's so easy to learn, and then enjoy! Love Gemini!",2025-01-12 18:18:11,1.0.686588308,2
good 👍,2025-04-18 08:00:33,1.0.741105040,2
"Fake AI app, doesn't work",2025-03-31 18:33:08,1.0.686588308,0
why go backwards... cannot add item to shopping list anymore,2024-03-03 20:29:02,1.0.608774175,0
good,2024-07-18 07:49:59,1.0.626720042,2
Best Ai App I've come across,2024-12-06 12:53:39,1.0.686588308,2
good aap nice,2025-07-01 15:30:09,1.0.772404132,2
very easy to use and helpful,2025-05-26 21:45:04,1.0.751104895,2
"talking abt the video generated by veo3 , the charaters are not blinking there eyes as real human or animal do",2025-05-28 07:32:05,1.0.751104895,1
its very and so amazing 👍👍,2025-01-12 16:00:04,1.0.686588308,2
"starts off telling me what I already know, so I'll be searching for more terse interaction.",2025-05-19 22:38:30,1.0.751104895,1
Useless..,2025-04-17 10:33:34,1.0.741105040,0
great 👍,2024-10-19 19:49:28,,2
it's absolutely wonderful to have an app like Gemini it's like the Gemini that comes from 'Alauddin and the magic lamp' this app so useful,2025-02-18 10:29:37,1.0.686588308,2
good,2025-02-19 05:06:18,1.0.686588308,2
not best,2025-07-04 10:10:40,1.0.772404132,2
it doesn't work! google assistant was better,2025-02-02 03:12:16,1.0.686588308,0
I don't want AI & auto. got on my phone. I want it off,2025-05-02 06:59:17,1.0.667532867,0
is good app n is very2 helpfull!,2025-04-10 15:18:05,1.0.686588308,2
good,2025-05-08 14:38:27,1.0.751104895,2
nice🥰🥰,2025-02-19 06:05:57,1.0.686588308,2
great app,2024-09-02 13:09:13,1.0.662093464,2
wow,2024-07-27 07:47:55,1.0.626720042,2
super,2025-07-02 15:16:09,1.0.772404132,2
dope,2024-05-17 22:47:15,1.0.626720042,2
you so useful,2025-02-12 14:08:50,1.0.686588308,2
really helpfull just as google but this time all look good it turns up the best,2024-10-19 09:19:26,1.0.668480831,2
good,2025-06-27 10:21:53,1.0.686588308,2
i need offline this app because in my school is the signal is very poor. but i love this app,2024-09-22 09:12:55,1.0.667532867,2
super,2025-04-13 04:50:22,1.0.741105040,2
awesome,2025-03-17 17:58:17,1.0.686588308,2
💯,2024-05-16 23:41:55,1.0.626720042,2
nzuri,2025-05-10 12:57:37,1.0.751104895,2
Good but doesnt respond in some cases,2025-06-10 10:27:05,1.0.751104895,2
Very useful app,2025-06-15 13:39:59,1.0.751104895,2
very useful AI app👍,2025-02-13 04:52:18,1.0.686588308,2
"oh my God, SOOO easy to use and quick",2025-07-03 06:50:02,1.0.667532867,2
bahut achcha hai Google Gemini,2025-01-08 02:29:50,1.0.686588308,2
This app not showing the default language of the device.,2024-09-21 16:57:02,1.0.667532867,0
it's very useful 👍👍,2024-11-01 13:01:13,,2
goooood,2024-07-26 08:32:16,1.0.626720042,2
slow,2025-05-04 00:55:06,1.0.741105040,0
didn't do anything I said,2025-01-08 20:45:49,1.0.686588308,0
keeps popping up and i dont want it can i stop it,2025-06-05 22:05:29,,0
that is best app for question answers,2025-05-27 12:29:00,1.0.751104895,2
"+ 5 for a good 2.5 pro model (2.5 flash is useless) -5 for only allowing assistant or Gemini, enforcing us to keep switching between the two",2025-06-27 11:22:53,1.0.772404132,0
nice,2025-02-17 13:39:26,1.0.686588308,1
not understand what i want to explore,2025-04-20 08:15:37,1.0.741105040,0
image generator feature is missing,2024-11-17 15:47:16,,0
Awesome,2025-05-09 17:39:19,1.0.751104895,2
good,2025-04-22 10:20:21,,2
Love it,2024-11-18 03:54:38,1.0.668480831,2
"when replaced with google Assistant, icon hide",2025-03-05 07:42:04,1.0.686588308,0
good,2024-11-29 17:52:31,1.0.626720042,2
great,2025-07-01 15:22:59,1.0.772404132,2
"Google keeps trying to force me to switch to Gemini instead of Google assistant, but Gemini can't control my devices or work while in the lock screen. Google needs to stop trying to shove products down users throats.",2024-12-21 19:30:43,1.0.686588308,0
Pretty good so far.,2024-07-28 06:39:55,1.0.626720042,2
cool,2025-04-07 14:20:06,1.0.686588308,2
good,2025-03-23 07:29:19,1.0.686588308,2
Good Aap,2025-05-14 22:57:04,1.0.751104895,1
doesn't do everything I need,2024-05-25 14:17:22,1.0.626720042,0
Help me in my exam preparation,2025-03-26 01:23:02,1.0.686588308,2
اعلی,2025-04-03 18:09:16,1.0.741105040,2
i love you ❤️,2024-11-23 14:31:25,1.0.686588308,2
nice app always helps whenever I need,2025-02-13 05:24:04,1.0.686588308,2
good,2025-03-10 14:33:50,1.0.686588308,2
nice,2024-11-30 21:30:54,1.0.686588308,2
Direct and Correct on my Samsung S21 Ultra 5G! Am liking Gemini more and more every day. It digs deeper than Google Assistant did and like it; a lot!,2025-05-29 00:16:34,1.0.751104895,2
Excellent 💯,2025-06-08 14:20:15,1.0.751104895,2
cool,2025-07-04 08:42:33,1.0.772404132,2
This is definitely an outsider among others competitors.,2024-08-05 05:40:32,,0
Nice❤️,2025-06-22 12:08:07,1.0.751104895,2
very very much good,2025-04-06 15:03:26,1.0.686588308,2
Still not sure how to integrate or switch all my google assistant thingies to Gemini or even if I can but happy with Gemini as far as my own interactions,2025-05-06 23:16:29,1.0.667532867,2
It's good cause it's free. But cant replace Chat gpt yet,2024-07-24 16:37:10,1.0.626720042,1
nice application. I like it and you use it,2025-03-21 15:13:45,1.0.686588308,2
good,2025-01-23 05:24:27,,2
ভালো,2025-07-06 10:10:11,1.0.776555963,2
worst performance,2024-10-29 13:57:25,1.0.668480831,0
Quite good.,2025-02-14 14:23:15,1.0.686588308,1
don't like,2025-06-07 23:33:27,1.0.751104895,0
very good,2025-01-09 03:23:13,1.0.686588308,2
good 👍🏻,2025-02-12 14:15:23,1.0.686588308,2
useless,2024-08-31 20:59:01,1.0.662093464,0
can't edit pictures and not very helpful. wish there was an adult mode,2025-03-02 20:01:15,1.0.686588308,0
Gemini is simply delicious. Thank you Google.,2024-09-09 21:14:44,1.0.667532867,2
fantastic,2025-05-26 04:36:28,1.0.751104895,2
100 ru 70 point ☝️☝️,2025-01-26 14:32:09,1.0.686588308,0
ok,2025-05-23 14:17:13,1.0.667532867,2
really helpful,2025-04-04 15:52:51,1.0.686588308,2
good I'm gem,2024-08-04 10:35:33,1.0.657262185,2
awesome,2025-03-04 16:36:09,1.0.686588308,2
Very knowledgeable,2025-01-06 07:07:21,1.0.686588308,2
👌👌,2024-12-22 16:58:00,1.0.686588308,2
good,2024-12-19 18:34:35,1.0.686588308,2
Very nice And well n Good 💯,2025-04-14 06:10:27,1.0.741105040,2
"Gemini is a piece of trash. It does not make phone calls for you like Google used to. Be very careful how you are using it as well. Read the fine print all the information about them. Capturing your voice in a fake effort to get the best experience for you. What they're really doing is capturing your voice to be able to use for some covert activity period We are not paranoid. We know the truth, and I don't mean the royal. We either I'm not the only one that feels this way. So if you want to igno",2025-05-31 13:15:44,1.0.751104895,0
superr,2025-06-21 17:30:24,1.0.751104895,2
Most racist and politically motivated application I have ever used.,2024-02-26 17:31:21,,0
excellent,2025-02-06 07:47:30,1.0.686588308,2
most helpful application I have in my phone.finds solution to all my problems,2025-01-21 15:39:48,1.0.686588308,2
atleast give us the choice if we want a safe answer to our questions or not.,2025-04-28 12:27:36,1.0.741105040,1
google gemini is advanced,2024-10-25 16:56:49,1.0.668480831,2
super,2025-07-08 02:11:36,1.0.626720042,1
it's good 👍,2024-06-29 02:10:56,1.0.626720042,2
Very Useful App.,2025-03-13 16:30:49,1.0.686588308,2
good,2025-07-04 15:44:01,1.0.776555963,1
It was so much good for search question or asking questions also call Gemini explain very much good like human being explanation like human being,2025-04-19 03:40:33,1.0.741105040,2
good,2025-07-06 19:54:16,1.0.772404132,2
it is very helpful,2025-05-04 16:01:52,,2
ভালো,2025-07-02 03:42:20,1.0.772404132,1
good,2025-06-05 10:08:06,1.0.751104895,2
loved it,2024-10-05 13:24:52,1.0.668480831,2
its good to use,2025-02-16 15:26:57,1.0.686588308,2
better than chatgpt even the unpaid one is worse than this,2024-06-21 01:23:30,1.0.626720042,2
that's good 😊,2024-11-19 21:36:07,1.0.668480831,2
good 👍,2025-06-15 12:10:02,1.0.751104895,2
nice app🔥,2024-07-26 10:53:51,1.0.626720042,2
a good ai than chatgpt,2025-06-12 05:28:03,1.0.751104895,2
so cute,2025-03-23 12:42:38,1.0.686588308,2
Gemini Very Fantastic,2024-10-20 13:15:57,1.0.668480831,2
This is really good and you can ask questions,2025-01-30 02:47:10,,2
grateful at all cool things are here..........,2025-06-09 16:36:48,1.0.667532867,2
Very Bad 😞,2024-12-25 13:33:58,,0
good choice 😃,2024-06-19 07:17:44,1.0.626720042,2
super,2024-06-29 23:21:11,1.0.626720042,2
I live in my hand Gemini set me an alarm 4 in the morning and then let me turn on the acid water alarms do I have it set for the next day and it said noon I said that multiple times but the alarm is were set,2025-03-15 03:01:02,1.0.686588308,0
This AI was coded to be racist,2024-02-25 01:02:54,1.0.608774175,0
Hmmm too many mistakes!,2025-05-28 11:59:25,1.0.751104895,1
stop recording me,2024-04-02 19:47:45,1.0.618909562,0
"It really kinda sucks. This App does do what it says it'll do, HOWEVER only partially! It has a parental controlled vibe to it. Personally it's not for me.",2024-05-30 02:16:05,1.0.626720042,1
crazy good and as needed 90% of the time. e.g. Just try opening some event/deadline on screen and ask about screen and say create calender event for this event. it does that for even multiple events.,2025-05-05 17:23:23,1.0.751104895,2
she likes android better,2024-12-24 02:52:38,1.0.686588308,2
