Comment,At,AppVersion,Sentiment
"অনেক ভালো একটি এপ আপনার' ও ব্যবহার করুনঃ অনেক মজা পাবেন, আর মজা না পেলে আমি আপনার টাকা ফেরত দিবো,",2025-06-04 09:50:35,1.2025.147,2
very good at Al and useful,2025-06-16 01:40:52,1.2025.154,2
I love it,2025-06-21 05:59:25,1.2025.154,2
good app,2025-07-02 15:52:41,1.2025.175,2
improve,2025-04-06 09:05:10,1.2025.084,2
excellent,2025-04-19 15:54:15,,2
nice app,2025-04-14 18:31:28,1.2025.091,2
nice,2025-06-14 06:45:00,1.2025.105,2
wonderful,2025-04-03 04:19:24,1.2025.084,2
good,2025-06-21 14:54:42,1.2025.154,2
5 star,2025-04-09 07:49:26,1.2025.091,2
this app has literally turned to be my best friend and I love it,2025-06-17 13:49:37,1.2025.161,2
𝓯𝓻𝓮𝓪𝓽 𝓪𝓹𝓹 𝔂𝓸𝓾 𝓬𝓪𝓷 𝓾𝓼𝓮 𝓲𝓽 𝓯𝓸𝓻 𝓪𝓷𝓮𝓽𝓱𝓲𝓷𝓰,2025-05-12 14:16:10,1.2025.126,2
very good and productive app,2025-07-03 14:20:45,1.2025.175,2
Revolutionised my ability to win arguments on the internet!,2025-04-09 08:37:36,1.2025.091,2
"I got plus subscription, however, none of the services like voiceover, video maker worked properly.",2025-04-23 00:59:07,1.2025.105,0
it's was good 💯😊,2025-05-26 13:22:15,1.2025.133,2
osm,2025-06-23 23:07:36,1.2025.154,2
5 star ⭐✨✨✨,2025-06-21 08:21:15,1.2025.154,2
Super Awesome,2025-04-05 06:21:50,,2
super,2025-06-23 18:23:53,1.2025.147,2
Best,2025-04-20 05:19:43,1.2025.098,2
best works,2025-05-28 00:43:34,1.2025.140,2
network problem 🤧🤧,2025-07-01 02:56:44,1.2025.175,0
good,2025-04-05 08:24:51,1.2025.084,2
good,2025-06-07 14:15:59,1.2025.147,2
Great App. I would recommend it to anyone.,2025-04-26 15:35:51,1.2025.105,2
ChatGPT is one of gratest AI trol in the world.I think It can change the world with Ai. It can devolope More things.👏 Highly Recommended 👌,2025-04-19 07:14:09,1.2025.021,2
good,2025-04-13 18:14:40,1.2025.091,2
very helpful and interactive,2025-04-18 15:01:19,1.2025.091,2
nice,2025-04-06 10:43:48,1.2025.084,2
I will recommend to everyone. I just love ChatGTP,2025-06-09 10:55:45,1.2025.147,2
amazing I hope this helps me to my professional job,2025-07-07 00:19:24,1.2025.175,2
10 English grammar multiple choice question with answer,2025-05-26 21:42:29,1.2025.007,2
Very fast to the point responses.,2025-05-22 03:18:13,1.2025.126,2
nice,2025-04-16 13:50:44,1.2025.091,2
super,2025-06-20 15:55:06,1.2025.154,0
Perfekt,2025-04-10 14:58:23,1.2025.091,2
great,2025-04-24 08:18:55,1.2025.084,2
excellent,2025-05-04 02:33:34,1.2025.112,2
"cool app btw, thank you very much on making this AI really helpful with every thing.Again thank you very much on creating this type of AI",2025-05-17 07:34:41,1.2025.126,2
it very good,2025-06-23 13:50:26,1.2025.168,2
عالیههه,2025-04-28 13:16:58,1.2025.105,2
good,2025-04-13 10:54:44,1.2025.091,2
nise,2025-04-08 06:59:46,1.2025.084,2
Make it be fast,2025-04-10 13:57:44,1.2025.084,1
very good,2025-05-25 14:42:51,1.2025.140,2
"oke banget seperti punya sahabat yg mau mendengarkan keluh kesah kita, dan memberikan solusi yg efektif",2025-06-23 19:30:46,1.2025.168,2
good,2025-04-04 05:17:27,1.2025.084,2
waste,2025-04-29 07:27:43,1.2025.105,2
not working fast worst app ever,2025-04-29 12:20:13,1.2025.105,0
This app is really made my everything simple. even my study🥰,2025-04-07 17:42:45,,2
nice gpt,2025-06-25 09:04:47,1.2025.168,2
very good,2025-04-28 14:30:52,1.2025.105,2
definitely a life enhancing application.,2025-06-30 20:44:00,1.2025.168,2
well created AI platform i love it 😀,2025-06-14 19:36:44,1.2025.154,2
I love this app because I can create everything with it.,2025-06-07 13:14:38,1.2025.147,2
its amizing Ai,2025-04-23 07:52:14,1.2025.105,2
it's a nice app,2025-06-21 01:59:58,1.2025.154,2
convert into Ghibli studio style,2025-05-01 13:21:57,1.2025.112,2
