Comment,At,AppVersion,Sentiment
great aap,2025-03-18 07:38:43,0.2.6,2
It is absolutely amazing. Grok just fully designed a 350 sf planting plan for my border specific to my needs. I am absolutely astounded. Saved me $3k.,2025-04-16 18:06:14,0.4.0,2
ai is just like a freind.,2025-03-20 20:12:55,0.2.8,2
عالی,2025-03-30 23:11:20,0.3.2,2
best,2025-04-04 14:12:40,0.3.6,2
awesome 😎,2025-06-08 20:48:27,0.5.16,2
yas good,2025-04-23 14:25:17,0.3.2,2
very good👍,2025-05-23 07:24:52,0.4.19,2
when I try it for using my essential office work that's actually help me lot of to solve my problem nice ai. gork,2025-03-23 11:26:55,0.2.0,2
nice on,2025-04-22 12:19:53,0.4.4,2
but it must be free like a gemini,2025-04-03 06:14:56,0.3.6,2
nice app,2025-04-08 15:55:35,0.3.3,2
"this is very good and very fast in response, i really like this",2025-05-29 16:59:50,,2
love it!,2025-04-06 01:19:51,0.3.7,2
this app is very helpful if my work .,2025-05-19 04:20:32,0.5.2,2
better than deep seek,2025-05-20 08:26:27,0.5.3,2
"This is crazy, given everything at the right time with perfect results",2025-05-05 16:24:21,0.3.3,2
best AI of the decade,2025-04-14 13:02:21,,2
best ai,2025-05-01 17:54:58,0.4.13,2
just what I wanted,2025-05-06 15:43:42,0.4.14,2
Super useful. Best AI system I've used yet.,2025-05-12 07:43:49,0.4.14,2
Amazing,2025-05-02 15:48:00,,2
I love you this app,2025-03-24 02:53:54,0.2.8,2
good app,2025-04-01 12:46:52,0.3.4,2
good,2025-04-02 06:36:51,0.3.6,2
good,2025-04-17 05:34:38,0.3.11,2
"Best AI ever, so smooth",2025-04-02 15:50:05,0.3.3,2
grok is becoming my new vacation planner fantastic,2025-04-18 14:06:05,0.3.11,2
very nice 👍,2025-03-22 08:56:04,0.2.8,2
Although it is the starting version of the grok ai but as compared to other starting version of other AIs it's the best!,2025-03-04 12:21:30,0.1.18,2
great app best then ever used.,2025-05-05 12:39:26,0.4.15,2
good,2025-03-23 02:21:14,0.2.9,2
excellent job.,2025-03-19 20:18:44,,2
good,2025-05-05 20:32:18,0.4.15,2
