Comment,At,AppVersion,Sentiment
"I recently started using the app, its impressive, interesting 🥰",2025-03-07 17:50:07,2.40.3,2
good result,2024-05-31 18:23:18,2.21.0,2
greate,2025-06-17 04:44:37,2.47.2,2
google killer,2024-02-13 12:55:06,2.11.0,2
good,2025-07-05 11:26:27,2.49.3,2
Awesome,2024-11-28 18:02:47,2.34.1,2
super,2025-04-01 14:11:05,2.42.0,2
good,2024-01-15 17:46:30,2.9.0,2
"first questions, right answers. uninstalling chat gpt",2024-06-12 12:58:23,2.21.0,2
very useful,2025-06-08 08:56:05,2.47.0,2
I love it. Not moving to anything else. Keep up the good work,2025-06-28 09:22:27,2.48.2,2
ok,2025-06-24 15:18:52,2.47.2,1
I like it and it works good 👍😊,2024-02-15 15:59:30,2.11.1,2
"highly recommended, specially if you do alot of search and research for educational purposes :))",2024-03-04 16:52:05,2.14.0,2
Excellent. Earlier search engines are outdated and old now,2024-07-04 19:23:55,2.23.0,2
One of the best app for learning I have used.,2025-07-05 06:25:17,2.49.3,2
interface is clean. response is fast,2024-08-13 09:33:45,2.25.1,2
ok,2025-05-22 06:36:41,2.46.0-google,0
No longer perplexed,2023-11-04 03:38:10,2.6.0,2
Very good,2025-04-20 16:28:23,2.43.1,2
its good,2025-02-27 07:21:34,2.40.1,2
talks too much,2025-03-28 21:51:11,2.42.0,0
lol i just like it,2024-10-23 02:28:38,2.31.1,2
Must have App!,2024-12-05 04:21:19,2.34.1,2
excellent,2024-05-31 21:00:24,2.20.1,2
excellent 👌,2025-07-02 06:27:25,2.48.2,2
Give the perfect information,2025-06-04 09:06:11,2.47.0,2
best,2025-06-12 23:17:40,2.47.2,2
"superior to Google, I use it daily",2024-12-19 23:24:09,2.35.0,2
Good app very helpful,2024-05-01 03:38:23,,2
this is a very fantastic for me as a jee student....,2024-10-19 03:30:24,2.31.1,2
excellent so far. have not come across any of the guardrails that ChatGPT has been made unusable to me because of. this app is quick and gives very good responses as far as I can tell after a few days using it. Definitely recommended.,2023-12-30 22:04:03,2.8.0,2
superb,2024-05-15 18:52:58,2.18.2,2
"I guess if you want it to make compatable with gogle you should add only 1 original links for shopping , news ,apps etc",2024-02-27 06:41:07,2.11.1,2
excellent service,2025-03-29 11:42:38,2.42.0,2
Can't log in using Gmail.,2025-01-12 11:11:10,,0
بهتر است دو گزینه برای کپی باشد :: یکی گزینه ی متن پاسخ سوال فقط و دوم ،،،: گزینه ی پاسخ سوال بعلاوه ی منبع یا منابع . بنظر من شماها بهترین هوش مصنوعی برای مقاله نویسی هستید .,2025-03-04 22:13:16,2.40.3,2
"It was great before today's update, but after the update it crashes the app.",2025-05-24 10:25:50,2.46.1,1
Nice app,2024-12-22 05:03:09,2.35.0,1
nice,2025-03-30 08:36:58,2.42.0,2
perfect,2024-02-16 14:54:01,2.11.1,2
"Absolutely, Best AI tool",2023-11-09 10:04:28,2.6.0,2
ok,2025-06-28 07:10:27,2.46.1,2
"as a student Its very helfull app for me. thanks for making this AI app. Its full ok but I just want to know knowledge in my own language & that is Bangla or Bengali language. Hope you will fix the linguistic problem very soon in the next update. Another problem is that its cursor moves in reverse, so typing problems often occur. Hope you solve this problem soon",2023-06-26 18:46:09,1.0.26,1
nice,2024-05-20 19:20:52,2.20.0,2
Great app..... But please include an option to increase the font size for those of us with older eyes. Thanks,2024-09-13 05:00:50,2.27.1,2
"very good, I love it components",2025-03-07 17:08:16,2.40.3,2
good,2025-05-16 14:58:26,2.44.1,1
great work guys!,2025-04-17 23:18:36,2.43.0,2
Excellent,2025-07-05 17:19:04,2.49.3,2
Best AI tool for research. Most of what you need is free. Would absolutely recommend as a student.,2025-06-18 10:26:22,2.47.2,2
I really like this AI tool for giving easy and detailed solutions to any questions.,2025-02-24 16:12:12,2.40.1,2
it's good,2024-01-13 03:29:14,2.8.0,2
not bad Image generation should be added,2024-11-21 19:19:01,2.33.1,2
good,2025-01-30 11:41:49,,2
Amazing resource. Love it.,2024-11-08 00:01:53,2.32.1,2
I am satisfied with the web searching and providing content within less time and also exploring different websites those are related to content.,2024-08-03 07:26:13,2.25.1,2
amazing,2025-07-05 07:37:48,2.49.3,2
worst,2024-12-08 00:01:22,2.34.1,0
it directly provides you the information you needed. 😀,2024-03-13 11:28:32,2.15.0,2
good,2025-05-17 07:56:25,,1
For it's a cool and a very good up to date information provider.,2025-01-09 08:09:02,2.32.1,2
Good easy to access,2025-04-08 14:11:56,2.43.0,2
The best 2 AI king,2024-07-26 18:20:01,2.23.4,2
Sometimes normal and sometimes great but never shown any wrong aur exaggerated answers . Nice app loved it,2023-12-01 08:36:08,2.7.0,2
👌 best,2025-02-24 00:44:30,2.40.1,2
Excellent app,2025-04-24 01:46:16,2.43.1,2
very helpful,2024-02-02 14:03:44,2.10.0,2
the citation is very good for study.,2025-05-26 13:38:04,2.46.1,2
mast app hai i love this app very fast service and I again download say you,2024-11-10 09:37:33,,2
best,2025-06-09 13:41:16,2.47.1,2
Good,2025-05-14 16:08:00,2.44.1,1
best ai engine in the world,2025-06-14 16:15:42,2.47.2,2
Amezing ai aap super,2024-08-13 12:59:35,,2
i listen about this app on the Instagram than after download and I use this app sometime software is 😊 I will geven the review after sometime ok,2024-01-17 18:27:53,2.9.0,2
it's good,2025-06-06 11:27:39,2.47.0,2
this app is good,2024-04-13 14:06:25,2.17.0,2
this is best app,2024-01-22 04:19:03,2.9.0,2
bekar,2025-06-26 17:23:26,2.48.2,0
Great tool!,2024-10-28 20:48:15,2.31.2,2
Uninstalling because I don't want to see news headlines and they give no option to turn it off. Seriously who still reads the news? It's an odd choice for a modern AI app to behave like a newspaper front page.,2025-02-10 16:33:17,,0
answering any type of questions,2025-03-01 14:50:11,2.40.1,2
osm,2025-03-30 14:30:30,2.42.0,0
A friend recently told me about this and how acurate it is. I'm finding I use it often and it's very informative and helpful.,2025-04-23 02:45:50,2.43.1,2
can't express in words,2024-12-09 17:06:31,2.34.1,2
Great AI for major and deep level of research.,2025-06-06 07:39:54,2.47.0,2
good excellent 👌 👏 👍 😀,2025-07-02 10:33:33,2.44.1,2
mast h,2025-05-27 14:58:13,2.46.1,2
best,2024-09-12 18:07:56,,2
လွယ်ကူရှင်းလင်းပါသည်,2025-05-24 00:14:27,2.46.1,2
